run_dir,experiment_name,dataset,iid,alpha,aggregation,attack_type,malicious_ratio,num_rounds,final_clean_accuracy,best_clean_accuracy,final_test_loss,final_backdoor_asr,final_rejection_rate,final_tpr,final_fpr,final_f1,chain_valid,total_time
experiments_b_journal\ext_flame_fashionmnist_iid_flame_s43_20260615_095803,ext_flame_fashionmnist_iid_flame_s43,FashionMNIST,True,0.5,flame,backdoor,0.2,80,81.38,81.38,0.5157443159103393,5.941023417172593,0.0,0.0,0.0,0.0,True,116.65194929999416
experiments_b_journal\ext_flame_fashionmnist_iid_flame_s44_20260615_100008,ext_flame_fashionmnist_iid_flame_s44,FashionMNIST,True,0.5,flame,backdoor,0.2,80,81.28,82.97,0.5229356455802917,5.594102341717259,0.0,0.0,0.0,0.0,True,118.83653820000472
experiments_b_journal\ext_flame_fashionmnist_iid_fltrust_s42_20260614_184653,ext_flame_fashionmnist_iid_fltrust_s42,FashionMNIST,True,0.5,fltrust,backdoor,0.2,80,73.33,73.33,0.7921729974746704,3.4692107545533393,20.0,1.0,0.0,1.0,True,88.1392407999956
experiments_b_journal\ext_flame_fashionmnist_iid_fltrust_s43_20260614_184827,ext_flame_fashionmnist_iid_fltrust_s43,FashionMNIST,True,0.5,fltrust,backdoor,0.2,80,72.22,72.47,0.828656128692627,5.0737207285342585,0.0,0.0,0.0,0.0,True,84.69418429999496
experiments_b_journal\ext_flame_fashionmnist_iid_fltrust_s44_20260614_184957,ext_flame_fashionmnist_iid_fltrust_s44,FashionMNIST,True,0.5,fltrust,backdoor,0.2,80,72.68,72.68,0.8093810273170471,4.076322636600174,20.0,1.0,0.0,1.0,True,88.94505519999075
experiments_b_journal\ext_flame_fashionmnist_iid_norm_filter_s42_20260614_184220,ext_flame_fashionmnist_iid_norm_filter_s42,FashionMNIST,True,0.5,norm_filter,backdoor,0.2,80,88.18,88.18,0.3208192114114761,1.9080659150043364,40.0,1.0,0.25,0.6666666666666666,True,85.37879270000849
experiments_b_journal\ext_flame_fashionmnist_iid_norm_filter_s43_20260614_184352,ext_flame_fashionmnist_iid_norm_filter_s43,FashionMNIST,True,0.5,norm_filter,backdoor,0.2,80,88.07,88.14,0.32435448153018953,1.3876843018213356,20.0,1.0,0.0,1.0,True,85.1375784999982
experiments_b_journal\ext_flame_fashionmnist_iid_norm_filter_s44_20260614_184523,ext_flame_fashionmnist_iid_norm_filter_s44,FashionMNIST,True,0.5,norm_filter,backdoor,0.2,80,88.82,88.84,0.315531933760643,1.4310494362532524,20.0,1.0,0.0,1.0,True,84.37622000000556
experiments_b_journal\ext_flame_fashionmnist_iid_proposed_s42_20260614_185614,ext_flame_fashionmnist_iid_proposed_s42,FashionMNIST,True,0.5,proposed,backdoor,0.2,80,88.14,88.18,0.3232305452346802,1.8647007805724198,20.0,1.0,0.0,1.0,True,80.2154978000035
experiments_b_journal\ext_flame_fashionmnist_iid_proposed_s43_20260614_185740,ext_flame_fashionmnist_iid_proposed_s43,FashionMNIST,True,0.5,proposed,backdoor,0.2,80,88.17,88.17,0.3249416831731796,1.4310494362532524,20.0,1.0,0.0,1.0,True,80.5775152000133
experiments_b_journal\ext_flame_fashionmnist_iid_proposed_s44_20260614_185907,ext_flame_fashionmnist_iid_proposed_s44,FashionMNIST,True,0.5,proposed,backdoor,0.2,80,88.67,88.81,0.3162953498363495,1.2575888985255854,20.0,1.0,0.0,1.0,True,81.53741150000133
experiments_b_journal\ext_flame_fashionmnist_noniid_fedavg_s42_20260614_190034,ext_flame_fashionmnist_noniid_fedavg_s42,FashionMNIST,False,0.5,fedavg,backdoor,0.2,80,86.48,86.48,0.3671798316001892,90.02601908065915,0.0,0.0,0.0,0.0,True,96.36848569998983
experiments_b_journal\ext_flame_fashionmnist_noniid_fedavg_s43_20260614_190216,ext_flame_fashionmnist_noniid_fedavg_s43,FashionMNIST,False,0.5,fedavg,backdoor,0.2,80,83.21,83.21,0.46001821060180664,98.91587163920208,0.0,0.0,0.0,0.0,True,96.06736670000828
experiments_b_journal\ext_flame_fashionmnist_noniid_fedavg_s44_20260614_190358,ext_flame_fashionmnist_noniid_fedavg_s44,FashionMNIST,False,0.5,fedavg,backdoor,0.2,80,85.11,85.11,0.4073848313331604,81.8733738074588,0.0,0.0,0.0,0.0,True,94.88137869999628
experiments_b_journal\ext_flame_fashionmnist_noniid_flame_s42_20260615_100214,ext_flame_fashionmnist_noniid_flame_s42,FashionMNIST,False,0.5,flame,backdoor,0.2,80,83.81,83.81,0.4526668159008026,14.830875975715525,0.0,0.0,0.0,0.0,True,137.3663412000169
experiments_b_journal\ext_flame_fashionmnist_noniid_flame_s43_20260615_100439,ext_flame_fashionmnist_noniid_flame_s43,FashionMNIST,False,0.5,flame,backdoor,0.2,80,78.08,79.28,0.6167430232524872,18.256721595836947,0.0,0.0,0.0,0.0,True,137.19007620000048
experiments_b_journal\ext_flame_fashionmnist_noniid_flame_s44_20260615_100703,ext_flame_fashionmnist_noniid_flame_s44,FashionMNIST,False,0.5,flame,backdoor,0.2,80,79.52,83.52,0.5714109864234924,9.063313096270598,0.0,0.0,0.0,0.0,True,134.5160782999883
experiments_b_journal\ext_flame_fashionmnist_noniid_fltrust_s42_20260614_191042,ext_flame_fashionmnist_noniid_fltrust_s42,FashionMNIST,False,0.5,fltrust,backdoor,0.2,80,69.31,69.42,1.1814447986602783,3.165654813529922,20.0,1.0,0.0,1.0,True,99.43386079999618
