run,experiment_name,dataset,split,attack_type,seed,rounds,validator_count,threshold,byzantine_validators,valid_block_finalization_rate,mean_valid_verification_time_ms,scenario,invalid_block_rejection_rate,invalid_block_acceptance_rate,tampered_blocks,mean_invalid_verification_time_ms
core_cifar10_noniid_backdoor_proposed_s43_20260608_225347,core_cifar10_noniid_backdoor_proposed_s43,CIFAR10,Non-IID,backdoor,43,120,5,3,0,1.0,1.2868700004522302,weight_tamper,1.0,0.0,120,0.2878549997452258
core_cifar10_noniid_backdoor_proposed_s43_20260608_225347,core_cifar10_noniid_backdoor_proposed_s43,CIFAR10,Non-IID,backdoor,43,120,5,3,0,1.0,1.2868700004522302,client_weight_tamper,1.0,0.0,120,0.2912474993839472
core_cifar10_noniid_backdoor_proposed_s43_20260608_225347,core_cifar10_noniid_backdoor_proposed_s43,CIFAR10,Non-IID,backdoor,43,120,5,3,0,1.0,1.2868700004522302,model_hash_tamper,1.0,0.0,120,0.2869208331200449
core_cifar10_noniid_backdoor_proposed_s43_20260608_225347,core_cifar10_noniid_backdoor_proposed_s43,CIFAR10,Non-IID,backdoor,43,120,5,3,0,1.0,1.2868700004522302,previous_hash_tamper,1.0,0.0,120,0.008340000567841344
core_cifar10_noniid_backdoor_proposed_s43_20260608_225347,core_cifar10_noniid_backdoor_proposed_s43,CIFAR10,Non-IID,backdoor,43,120,5,3,0,1.0,1.2868700004522302,omit_client,1.0,0.0,120,0.2833983346742267
core_cifar10_noniid_backdoor_proposed_s43_20260608_225347,core_cifar10_noniid_backdoor_proposed_s43,CIFAR10,Non-IID,backdoor,43,120,5,3,0,1.0,1.2868700004522302,fake_client,1.0,0.0,120,0.30176333323955384
core_cifar10_noniid_backdoor_proposed_s43_20260608_225347,core_cifar10_noniid_backdoor_proposed_s43,CIFAR10,Non-IID,backdoor,43,120,5,3,0,1.0,1.2868700004522302,client_signature_tamper,1.0,0.0,120,1.0457641669442335
core_cifar10_noniid_backdoor_proposed_s43_20260608_225347,core_cifar10_noniid_backdoor_proposed_s43,CIFAR10,Non-IID,backdoor,43,120,5,3,0,1.0,1.2868700004522302,payload_hash_tamper,1.0,0.0,120,0.28653333332234376
core_cifar10_noniid_backdoor_proposed_s44_20260609_123103,core_cifar10_noniid_backdoor_proposed_s44,CIFAR10,Non-IID,backdoor,44,120,5,3,0,1.0,1.2827916673510724,score_tamper,1.0,0.0,120,0.2921291657306332
core_cifar10_noniid_backdoor_proposed_s44_20260609_123103,core_cifar10_noniid_backdoor_proposed_s44,CIFAR10,Non-IID,backdoor,44,120,5,3,0,1.0,1.2827916673510724,weight_tamper,1.0,0.0,120,0.29164999941713177
core_cifar10_noniid_backdoor_proposed_s44_20260609_123103,core_cifar10_noniid_backdoor_proposed_s44,CIFAR10,Non-IID,backdoor,44,120,5,3,0,1.0,1.2827916673510724,client_weight_tamper,1.0,0.0,120,0.2874049998354167
core_cifar10_noniid_backdoor_proposed_s44_20260609_123103,core_cifar10_noniid_backdoor_proposed_s44,CIFAR10,Non-IID,backdoor,44,120,5,3,0,1.0,1.2827916673510724,model_hash_tamper,1.0,0.0,120,0.2873391664858597
core_cifar10_noniid_backdoor_proposed_s44_20260609_123103,core_cifar10_noniid_backdoor_proposed_s44,CIFAR10,Non-IID,backdoor,44,120,5,3,0,1.0,1.2827916673510724,previous_hash_tamper,1.0,0.0,120,0.0088324998311388
core_cifar10_noniid_backdoor_proposed_s44_20260609_123103,core_cifar10_noniid_backdoor_proposed_s44,CIFAR10,Non-IID,backdoor,44,120,5,3,0,1.0,1.2827916673510724,omit_client,1.0,0.0,120,0.28612750041550805
core_cifar10_noniid_backdoor_proposed_s44_20260609_123103,core_cifar10_noniid_backdoor_proposed_s44,CIFAR10,Non-IID,backdoor,44,120,5,3,0,1.0,1.2827916673510724,fake_client,1.0,0.0,120,0.3019083338585915
core_cifar10_noniid_backdoor_proposed_s44_20260609_123103,core_cifar10_noniid_backdoor_proposed_s44,CIFAR10,Non-IID,backdoor,44,120,5,3,0,1.0,1.2827916673510724,client_signature_tamper,1.0,0.0,120,1.0371933328618372
core_cifar10_noniid_backdoor_proposed_s44_20260609_123103,core_cifar10_noniid_backdoor_proposed_s44,CIFAR10,Non-IID,backdoor,44,120,5,3,0,1.0,1.2827916673510724,payload_hash_tamper,1.0,0.0,120,0.2902399987457708
core_cifar10_noniid_sign_flip_proposed_s42_20260608_020850,core_cifar10_noniid_sign_flip_proposed_s42,CIFAR10,Non-IID,sign_flip,42,120,5,3,0,1.0,1.269785833331601,score_tamper,1.0,0.0,120,0.2925999996174748
